Nama Penyakit,Deskripsi Penyakit,Penyebab Penyakit,Gejala Penyakit
Kesemutan,"Kesemutan adalah sensasi seperti tertusuk jarum atau mati rasa di bagian tubuh tertentu. Parestesia bisa terjadi di bagian tubuh mana pun, tetapi paling sering terjadi di tangan, kaki, dan kepala.Kesemutan atau parestesia dapat terjadi sementara atau dalam jangka panjang.","kesemutan yang berkepanjangan, dokter akan menanyakan","dari suatu penyakit, dokter akan mengobati penyakit tersebut, misalnya dengan:Mengendalikan kadar gula darah bila penyebabnya adalah diabetesMemberikan suplemen vitamin B12, bila penyebabnya adalah kekurangan vitamin B12Memberikan obat kesemutan dan kebas, yang biasanya merupakan kombinasi dari vitamin B1, B6, dan B12 atau vitamin neurotropik, untuk menjaga kesehatan saraf dan mendukung penyembuhan sarafMenurunkan tekanan darah bila penyebabnya adalah hipertensiSelain beberapa upaya di atas, dokter akan meresepkan obat kesemutan guna meredakan gejala, seperti pregabalin atau gabapentin, untuk meredakan keluhan neuropati diabetik. Dokter juga dapat mengganti atau menghentikan obat yang memicu parestesia.Pada kondisi tertentu, misalnya kesemutan yang disebabkan oleh saraf kejepit atau kista ganglion, dokter dapat melakukan operasi.Pencegahan KesemutanKesemutan tidak selalu bisa dicegah, tetapi frekuensi kemunculannya dapat dikurangi dengan melakukan sejumlah upaya berikut ini:Hindari melakukan gerakan berulang yang dapat menekan saraf.Istirahat secara berkala jika sering melakukan gerakan secara berulang yang ampuh untuk mencegah dan mengatasi kaki kesemutan.Bangun atau berjalan dulu selama beberapa saat setelah duduk dalam waktu yang lama.Rutin berobat dan pantau kadar gula darah bila menderita diabetes."
Keseleo,"Keseleo atau terkilir adalah cedera yang terjadi pada ligamen, yaitu jaringan penyambung otot dan tulang (tendon). Kondisi ini umumnya terjadi pada area yang aktif bergerak, misalnya pergelangan kaki atau belakang paha.Ligamen, otot, dan tendon, berfungsi untuk menjaga kestabilan sendi dan mendukung pergerakan.","utama keseleo adalah meregangnya ligamen, otot, dan tendon, secara berlebihan. Keseleo umumnya terjadi ketika seseorang melakukan aktivitas yang menimbulkan tekanan pada sendi, seperti:Berjalan atau berolahraga di jalanan yang tidak rataMelakukan gerakan berputar saat berolahraga, seperti dalam olahraga atletikMelakukan pendaratan atau terjatuh pada posisi yang salahMenerapkan teknik latihan yang salah saat berolahragaFaktor risiko keseleoAda beberapa faktor yang bisa meningkatkan risiko seseorang mengalami keseleo, yaitu:Jarang melakukan aktivitas fisik atau berolahragaMemiliki berat badan berlebih atau obesitasMenggunakan perlengkapan olahraga yang tidak tepat, seperti sepatu yang sudah tidak layak pakaiTidak melakukan peregangan otot atau pemanasan sebelum berolahragaMemaksa tubuh untuk melakukan aktivitas ketika tubuh sedang lelah atau dalam kondisi yang kurang baikMelakukan aktivitas pada kondisi lingkungan yang kurang baik, seperti permukaan tanah yang basah dan licinMemiliki riwayat keseleo sebelumnya","yang dialami, serta jenis aktivitas yang menyebabkan keluhan tersebut. Setelah itu, dokter akan melakukan pemeriksaan fisik pada bagian yang mengalami keluhan.Pada pemeriksaan fisik, dokter akan menggerakkan bagian tubuh yang diduga keseleo dan meminta pasien untuk menggerakkannya secara mandiri."
Kernikterus,Kernikterus adalah kerusakan otak pada bayi yang disebabkan oleh tingginya kadar bilirubin dalam darah. Kondisi ini terjadi ketika penyakit kuning tidak segera ditangani sehingga kadar bilirubin terus meningkat dan menyebabkan kerusakan pada otak.Bilirubin adalah limbah yang dihasilkan secara alami saat tubuh mendaur ulang sel darah merah.,"KernikterusKernikterus disebabkan oleh tingginya kadar bilirubin dalam darah (hiperbilirubinemia) yang ditandai dengan tubuh menguning. Kondisi yang disebut dengan penyakit kuning ini diperkirakan dialami oleh 60% bayi.Umumnya, kadar bilirubin akan tinggi pada 3–5 hari setelah bayi dilahirkan.","lain di atasKulit bayi terlihat sangat kuning (kuning terang)Di rumah sakit, bayi yang baru lahir umumnya akan diamati setiap 8–12 jam selama 2 hari pertama sejak dilahirkan. Pemeriksaan ulang juga akan dilakukan sebelum bayi berusia 5 hari.Jika bayi tidak dilahirkan bayi di dokter atau di rumah sakit, bawalah bayi ke dokter untuk pemeriksaan menyeluruh."
Keriput,"Keriput adalah lipatan, garis, atau kerutan di permukaan kulit. Kondisi ini terjadi secara alami karena proses penuaan, tetapi juga bisa muncul lebih cepat akibat beberapa faktor.","KeriputKeriput dapat disebabkan oleh banyak faktor, antara lain:1. PenuaanSeiring usia bertambah, elastisitas kulit akan makin berkurang.","KeriputKeriput ditandai dengan lipatan, garis, atau kerutan di permukaan kulit. Keriput bisa muncul di berbagai area, seperti wajah (dahi, mulut, dan sekitar mata), leher, lengan atas, dan punggung tangan.Kapan harus ke dokterLakukan pemeriksaan ke dokter jika kemunculan keriput memengaruhi penampilan Anda."
Keringat Dingin,"Keringat dingin atau diaforesis adalah keringat berlebih yang muncul bukan karena olahraga, cuaca panas atau cuaca dingin. Kondisi ini dapat terjadi di bagian tubuh mana pun, tetapi umumnya di telapak tangan, telapak kaki, dan ketiak.Keringat dingin berbeda dengan keringat yang muncul saat tidur (night sweats).","yang tidak dapat diatasi, seperti menopause, dokter dapat melakukan pengobatan guna mengendalikan munculnya keringat dingin. Beberapa tindakan yang dapat dilakukan adalah: 1.","yang dialami oleh pasien dan riwayat kesehatan pasien. Setelah itu, dokter akan melakukan pemeriksaan fisik untuk memastikan kondisi kesehatan pasien.Jika diperlukan, dokter akan menjalankan pemeriksaan penunjang untuk menetapkan diagnosis."
Keratosis Seboroik,"Keratosis seboroik adalah benjolan seperti kutil yang tumbuh di permukaan kulit dan bisa bertambah seiring waktu. Kondisi ini lebih sering terjadi pada orang dewasa, terutama yang lanjut usia.Keratosis seboroik dapat tumbuh di permukaan kulit mana pun, kecuali di telapak tangan dan kaki.","keratosis seboroik. Namun, kondisi tersebut diduga berkaitan dengan beberapa faktor berikut:Berusia di atas 40 tahunSering terpapar sinar matahariMemiliki keluarga yang pernah menderita keratosis seboroikSering mengalami gesekan pada kulit, seperti pada lipatan kulit bagian dalam","utama keratosis seboroik adalah benjolan seperti kutil di kulit. Benjolan tersebut memiliki ciri-ciri sebagai berikut:Berwarna lebih gelap dari warna kulit sekitarnya, misalnya kecokelatan atau kehitamanBerbentuk bulat atau lonjongBertekstur kasar seperti kutilSering muncul lebih dari satu di satu area (berkelompok)Tidak menimbulkan sakit atau nyeri, tetapi dapat terasa gatal dan menggangguPenderita dianjurkan untuk tidak menggaruk atau mengusap bagian tubuh yang mengalami keratosis seboroik karena dapat menyebabkan infeksi, perdarahan, atau pembengkakan.Kapan harus ke dokterPeriksakan diri ke dokter jika timbul benjolan berwarna gelap di kulit yang dirasa mengganggu penampilan atau dapat bergesekan dengan kulit.Bentuk keratosis seboroik bisa mirip dengan kanker kulit."
Keratosis Pilaris,"Keratosis pilaris adalah kondisi kulit yang berbintik-bintik seperti kulit ayam dan teraba kasar. Gejala keratosis pilaris dapat berupa bintik-bintik yang teraba kasar, tetapi tidak menimbulkan gatal atau nyeri.Keratosis pilaris atau yang dikenal sebagai penyakit kulit ayam (chicken skin) bukanlah penyakit yang berbahaya.","dari penumpukan keratin tersebut. Akan tetapi, kondisi ini diduga terjadi akibat kelainan genetik.Keratosis pilaris lebih sering timbul pada kondisi-kondisi berikut:Berjenis kelamin wanitaMemiliki keluarga dengan keratosis pilarisMemiliki kondisi kulit yang cenderung kering, seperti pada penderita iktiosis dan eksim atopik","yang dialami, serta riwayat penyakit pasien dan keluarganya. Setelah itu, dokter akan melakukan pemeriksaan pada kulit dengan menggunakan kaca pembesar.Pengobatan Keratosis PilarisPada kebanyakan kasus, keratosis pilaris akan hilang dengan sendirinya."
Keratoconus,Keratoconus adalah kondisi ketika kornea menipis dan perlahan berubah bentuk menjadi lebih kerucut dan menonjol ke luar mata. Kondisi ini dapat menyebabkan mata penderitanya mudah merasa silau dan membuat penglihatan menjadi kabur.Kornea adalah lapisan mata yang transparan dan berbentuk cembung.,"keratoconus belum diketahui secara pasti. Namun, ada dugaan kondisi ini terkait dengan gangguan produksi kolagen, yaitu protein yang membantu menahan bentuk kornea serta menyusun jaringan kulit.Ada beberapa faktor lain yang juga dapat meningkatkan risiko terjadinya keratoconus, di antaranya:Memiliki keluarga yang pernah menderita keratoconusSering menggosok mata dengan kuat dan kasarMenderita alergi atau iritasi pada mataMenderita penyakit autoimun, seperti retinitis pigmentosaMenderita kelainan pada jaringan ikat, seperti sindrom Marfan dan sindrom Ehlers-Danlos","yang dialami pasien, serta riwayat kesehatan pasien dan keluarga. Setelah itu, dokter akan melakukan pemeriksaan mata dengan melihat tampilan dan bentuk mata.Dokter juga akan melakukan beberapa pemeriksaan penunjang di bawah ini untuk menegakkan diagnosis:Uji refraksi mata, untuk mengetahui ketajaman penglihatan pasien sehingga bisa terdeteksi apakah pasien menderita rabun dekat, rabun jauh, atau astigmatismeTes slit lamp, untuk melihat kelainan pada kornea secara lebih jelas dengan mengarahkan cahaya secara langsung pada mataKeratometri, untuk mengukur kelengkungan kornea mataTopografi kornea, untuk mengetahui bentuk dan ketebalan kornea mataPengobatan KeratoconusPengobatan keratoconus tergantung pada tingkat keparahan dan seberapa cepat kondisinya berkembang."
Keratitis,Keratitis adalah peradangan pada kornea mata. Kondisi ini umumnya ditandai dengan mata merah yang disertai nyeri.,"infeksinya, yaitu:Obat antibiotik, untuk keratitis infeksius akibat bakteri atau parasitObat antivirus, untuk keratitis infeksius akibat virusObat antijamur, seperti natamycin, untuk keratitis infeksius akibat jamurKeratitis infeksius yang disebabkan oleh infeksi parasit Acanthamoeba kadang sulit untuk diobati. Bahkan, jika kondisinya sudah parah, penderita memerlukan transplantasi kornea.Komplikasi KeratitisKeratitis yang tidak segera ditangani dapat menyebabkan beberapa komplikasi serius, yaitu:Peradangan kronis pada korneaPembentukan jaringan parut pada korneaRobekan, luka terbuka, atau ulkus korneaPenurunan penglihatan sementara atau permanenKebutaanPencegahan KeratitisKeratitis bisa dicegah dengan menjaga kebersihan dan kesehatan mata, serta mencegah cedera pada mata.","dan riwayat kesehatan pasien. Setelah itu, dokter akan melakukan pemeriksaan fisik pada mata pasien.Untuk menetapkan diagnosis, dokter akan melakukan beberapa pemeriksaan mata lanjutan, seperti:Tes penlight, untuk melihat reaksi pupil mata terhadap cahaya dengan menggunakan senter kecilOftalmoskopi, untuk memeriksa bagian mata yang lebih dalam, seperti cakram optik, retina, dan pembuluh darahTes slit lamp, untuk mengetahui luas infeksi pada kornea dan pengaruhnya terhadap bagian lain di dalam bola mataBila diperlukan, dokter akan mengambil sampel cairan atau jaringan bola mata untuk diperiksa di laboratorium."
Keracunan Timbal,Keracunan timbal adalah kondisi ketika seseorang mengalami pengendapan timbal di dalam tubuhnya. Timbal adalah unsur logam berat yang sangat beracun bagi tubuh.,"Keracunan TimbalPotensi utama keracunan timbal berasal dari konsumsi air keran yang tersambung dengan pipa atau tangki air logam. Kandungan timbal pada keran, pipa, atau tangki tersebut menyebabkan air terkontaminasi.","yang muncul dan faktor risiko yang mungkin dimiliki. Selanjutnya, dokter akan melakukan beberapa pemeriksaan penunjang berikut: Tes darahPasien bisa diwaspadai mengalami keracunan timbal bila kadar timbal dalam darah melebihi 5–10 μg/dL, baik pada anak-anak maupun dewasa."
Keracunan Sianida,"Keracunan sianida adalah kondisi ketika seseorang tanpa sengaja menghirup atau menelan sianida. Keracunan ini dapat menyebabkan keluhan berupa sulit bernapas, kejang, hilang kesadaran, atau henti jantung.","keracunan sianida adalah paparan seseorang dengan sianida, baik melalui kontak dengan kulit, menghirup, maupun menelan sianida. Kondisi ini lebih berisiko terjadi pada seseorang yang bekerja di bidang berikut:FotografiPertanianPengolahan logamPertambanganPengolahan plastik, kertas, dan kainPewarnaanPembuatan perhiasanKimiaSelain itu, sianida juga bisa ada dalam asap rokok atau asap hasil pembakaran plastik.","yang dialami cukup ringan dan penanganan segera dilakukan, keracunan sianida umumnya dapat sembuh total tanpa menyebabkan komplikasi. Sebaliknya, bila paparan sianida terjadi dalam jumlah yang banyak, maka dapat terjadi kerusakan pada saraf, jantung, otak, bahkan hingga menyebabkan kematian.Beberapa komplikasi yang bisa terjadi akibat keracunan sianida akut atau kronis adalah:Gagal jantungKejangKomaPencegahan Keracunan SianidaKeracunan sianida tidak selalu dapat dicegah."
Keracunan Obat,Keracunan obat adalah kondisi yang terjadi akibat menggunakan obat secara berlebihan atau mengombinasikan obat yang tidak cocok. Kondisi ini dapat menimbulkan gejala yang serius sehingga perlu ditangani dengan cepat.Obat dapat dimanfaatkan sebagai solusi untuk mengatasi masalah kesehatan.,"keracunan atau memeriksa efek keracunan obat pada organ dalam:Tes darahTes urineRontgen dadaCT scan otakEKG (elektrokardiogram) untuk memeriksa fungsi jantungPengobatan Keracunan ObatPengobatan terhadap keracunan obat tergantung pada situasinya. Perawatan yang dapat diberikan oleh petugas medis adalah:Terapi oksigen untuk membantu meringankan sesak napasBantuan napas dengan intubasi trakea atau ventilator jika terjadi gagal napasSelang nasogastrik untuk mengeluarkan obat yang mungkin masih ada di lambungArang aktif untuk mengikat obat yang dikonsumsi berlebihan sehingga tidak terserap lebih banyak ke dalam tubuhCairan intravena untuk mempercepat pengeluaran obat dari tubuhObat-obatan untuk mengatasi gejala, misalnya obat penawar seperti nalokson untuk membalikkan keracunan opioidPertolongan Pertama untuk Keracunan ObatJika Anda menemukan orang yang keracunan obat, segera telepon ambulans.","keracunan obat, dokter akan bertanya terkait hal-hal berikut ini.Usia pasienJenis obatWaktu ketika obat dikonsumsiAlasan obat dikonsumsi (disengaja atau tidak)Cara obat digunakan (ditelan, dihirup, atau disuntikkan)Jumlah yang diambilBerat badan pasienKondisi medis yang dimiliki pasienRiwayat penggunaan obatSetelahnya, dokter akan melakukan beberapa tes untuk memastikan obat"
Keracunan Merkuri,"Keracunan merkuri adalah kondisi ketika seseorang terpapar merkuri atau raksa dalam jumlah tertentu. Kondisi ini dapat menyebabkan kerusakan dan gangguan pada organ, seperti ginjal dan otak.","kondisi ini, seperti:Batasi konsumsi jenis makanan laut yang berpotensi memiliki kadar merkuri yang tinggi.Hindari konsumsi makanan laut dengan kadar merkuri tinggi ketika sedang hamil.Hindari aktivitas yang berisiko tinggi menyebabkan terjadinya paparan merkuri, misalnya memasak dengan kayu bakar di dalam rumah atau di dalam ruangan dengan ventilasi udara yang kurang baik.Segera cuci tangan atau mandi jika merasa telah terpapar merkuri.Hati-hati dalam membuang produk yang mengandung merkuri atau saat membersihkannya jika terjadi kebocoran atau tumpahan merkuri.Jika terdapat tumpahan merkuri dari termometer yang pecah, lakukan cara berikut:Jangan menyentuh butiran air raksa.Angkat butiran air raksa dengan menggunakan dua lembar potongan kardus lalu letakkan di tisu dapur yang tebal.Bersihkan sisa-sisa butiran air raksa dengan selotape atau kuas secara hati-hati, kemudian letakkan di tisu dapur tadi.Masukkan tisu dapur yang berisi butiran air raksa, potongan kardus yang digunakan untuk mengangkatnya, serta selotape atau kuas pembersihnya ke dalam kantung plastik dan tutup dengan rapatCuci tangan dengan baik.Berikan plastik tersebut ke puskesmas, rumah sakit, atau pemadam kebakaran terdekat.Selain itu, ada beberapa hal yang perlu diperhatikan saat membersihkan ruangan yang terpapar merkuri, yaitu:Jangan menggunakan alat penyedot debu atau sapu untuk membersihkan merkuri.Jangan menyentuh merkuri tanpa mengenakan pelindung.Jangan membuang merkuri ke saluran air.Buang pakaian yang terkontaminasi merkuri dalam kantong tertutup.Jangan letakkan kantong yang berisi barang-barang terkontaminasi merkuri di tempat sampah rumah.","yang telah disebutkan di atas.Segera cari pertolongan medis jika Anda atau orang yang ada di sekitar Anda mengalami kondisi berikut:Menelan merkuri secara sengaja atau tidak sengajaMenghirup uap atau gas merkuri dan mengalami gangguan pernapasanDiagnosis Keracunan Merkuri Untuk mendiagnosis keracunan merkuri, dokter akan bertanya tentang gejala, riwayat kesehatan, pola makan, dan pekerjaan, kepada pasien atau orang yang membawa pasien ke rumah sakit.Setelah itu, dokter akan melakukan pemeriksaan menyeluruh, termasuk pemeriksaan saraf. Agar diagnosis lebih akurat, dokter akan melakukan pemeriksaan penunjang, seperti:Tes darah atau urine, untuk mengukur kadar merkuri dalam tubuh.Pemeriksaan sampel feses, untuk mengetahui apakah telah terjadi perdarahan di saluran pencernaanMRI, untuk menentukan tingkat penyusutan dan kerusakan sel otakRontgen, untuk mendeteksi merkuri yang telah masuk dan menyebar di dalam tubuhPerlu diketahui, kadar merkuri yang normal adalah kurang dari 10 mikrogram/L dalam darah dan kurang dari 20 mikrogram/L dalam urine."
